symbol,name,price,exchange,exchangeShortName,type
"ULTR","IQ Ultra Short Duration ETF","47.96","New York Stock Exchange Arca","AMEX","etf",
"RXL","ProShares Ultra Health Care","102.613","New York Stock Exchange Arca","AMEX","etf",
"FMNY","First Trust New York High Income Municipal ETF","26.6629","New York Stock Exchange Arca","AMEX","etf",
"UIMP.DE","UBS (Lux) Fund Solutions – MSCI USA Socially Responsible UCITS ETF","196.32","Frankfurt Stock Exchange","XETRA","etf",
"DANC.TO","Desjardins Alt Long/Short Equity Market Neutral ETF","22.26","Toronto Stock Exchange","TSX","etf",
"XDEM.DE","Xtrackers MSCI World Momentum UCITS ETF","59.48","Frankfurt Stock Exchange","XETRA","etf",
"IDRV","iShares Self-Driving EV and Tech ETF","30.37","New York Stock Exchange Arca","AMEX","etf",
"SPYB","SPDR S&P 500 Buyback ETF","58.9059","New York Stock Exchange Arca","AMEX","etf",
"XDPC.SW","Xtrackers S&P 500 UCITS ETF","51.18","Swiss Exchange","SIX","etf",
"EQEU.DE","Invesco EQQQ NASDAQ-100 UCITS ETF (EUR Hdg)","338.05","Frankfurt Stock Exchange","XETRA","etf",
"DBX6.DE","Xtrackers MSCI Brazil UCITS ETF","39.69","Frankfurt Stock Exchange","XETRA","etf",
"TEQI","T. Rowe Price Equity Income ETF","39.6509","New York Stock Exchange Arca","AMEX","etf",
"VERG.L","Vanguard FTSE Developed Europe ex UK UCITS ETF","39.52768","London Stock Exchange","LSE","etf",
"CSBGE3.SW","iShares VII PLC - iShares € Govt Bond 1-3yr UCITS ETF EUR (Acc)","109.5","Swiss Exchange","SIX","etf",
"VUG","Vanguard Growth Index Fund","361.13","New York Stock Exchange Arca","AMEX","etf",
"VODS.L","Leverage Shares -1x Short Vodafone ETP","485.7","London Stock Exchange","LSE","etf",
"SAB","Saratoga Investment Corp. NT 23","25.62","New York Stock Exchange","NYSE","etf",
"PUS5.L","WisdomTree Short USD Long GBP 5x Daily","236","London Stock Exchange","LSE","etf",
"AIFD","TCW ETF Trust","26.5584","New York Stock Exchange Arca","AMEX","etf",
"XZWS.L","Xtrackers II ESG Global Government Bond UCITS ETF","5.982","London Stock Exchange","LSE","etf",
"DIVZ","TrueShares Low Volatility Equity Income ETF","30.2199","New York Stock Exchange Arca","AMEX","etf",
"CU71.L","iShares VII Public Limited Company - iShares $ Treasury Bond 3-7yr UCITS ETF","10225.5","London Stock Exchange","LSE","etf",
"MXWS.L","Source Markets plc - Source MSCI World UCITS ETF","8445","London Stock Exchange","LSE","etf",
"HLTW.PA","Lyxor MSCI World Health Care TR UCITS ETF - C-EUR","489.64","Paris","EURONEXT","etf",
"RZV","Invesco S&P SmallCap 600 Pure Value ETF","102.281","New York Stock Exchange Arca","AMEX","etf",
"JPSE","JPMorgan Diversified Return U.S. Small Cap Equity ETF","43.75","New York Stock Exchange Arca","AMEX","etf",
"IBBQ","Invesco Nasdaq Biotechnology ETF","22.5695","NASDAQ Global Market","NASDAQ","etf",
"SPYG","SPDR Portfolio S&P 500 Growth ETF","77.08","New York Stock Exchange Arca","AMEX","etf",
"BGIG","ETF Series Solutions","27.86","New York Stock Exchange Arca","AMEX","etf",
"FXRU.L","FinEx Tradable Russian Corporate Bonds UCITS ETF (USD)","0.4655","London Stock Exchange","LSE","etf",
"JRNY","ALPS Global Travel Beneficiaries ETF","24.45","New York Stock Exchange Arca","AMEX","etf",
"SKF","ProShares UltraShort Financials","12.4212","New York Stock Exchange Arca","AMEX","etf",
"WDRW","Direxion Daily Regional Banks Bear 3X Shares","40.76","New York Stock Exchange Arca","AMEX","etf",
"IWFH","iShares Virtual Work and Life Multisector ETF","15.3129","New York Stock Exchange Arca","AMEX","etf",
"IPAB.DE","iShares € Corp Bond ESG Paris-Aligned Climate UCITS ETF","5.17","Frankfurt Stock Exchange","XETRA","etf",
"S6EW.L","Ossiam STOXX Europe 600 Equal Weight NR UCITS ETF","125.44","London Stock Exchange","LSE","etf",
"3IND.L","Leverage Shares 3x Long India ETP Securities","2817.5","London Stock Exchange","LSE","etf",
"NORW","Global X MSCI Norway ETF","26.26","New York Stock Exchange Arca","AMEX","etf",
"CBSE.L","UBS (Lux) Fund Solutions – Bloomberg MSCI Euro Area Liquid Corporates Sustainable UCITS ETF","1096","London Stock Exchange","LSE","etf",
